symbol,name,cap,close,score
EXICOM,EXICOM TELE-SYSTEMS LIMITED,Microcap,170.83,6
FDC,FDC Ltd.,Microcap,423.85,6
FEDERALBNK,Federal Bank Ltd.,Midcap,330.05,6
FINCABLES,Finolex Cables Ltd.,Smallcap,1169.4,6
FINEORG,Fine Organic Industries Limited,Smallcap,5295.8,6
FLUOROCHEM,Gujarat Fluorochemicals Limited,Midcap,3964.0,6
FOSECOIND,Foseco India Ltd,Microcap,5331.1,6
GABRIEL,Gabriel India Ltd.,Smallcap,1239.3,6
GAEL,Gujarat Ambuja Exports Ltd.,Microcap,165.33,6
GALAPREC,Gala Precision Engineering Limited,Microcap,1107.05,6
GANDHAR,Gandhar Oil Refinery (India) Limited,Microcap,183.45,6
GANDHITUBE,Gandhi Special Tubes Ltd.,Microcap,859.1,6
GARFIBRES,GARWARE TECHNICAL FIBRES LIMITED,Microcap,765.65,6
GARUDA,Garuda Construction and Engineering Limited,Microcap,178.5,6
GCSL,Gretex Corporate Services Limited,Microcap,430.75,6
GEECEE,GeeCee Ventures Limited,Microcap,345.65,6
GHCLTEXTIL,GHCL Textiles Limited,Microcap,99.63,6
GLAND,Gland Pharma Limited,Smallcap,2495.0,6
GLOSTERLTD,Gloster Ltd,Microcap,731.85,6
GMBREW,G.M. Breweries Ltd.,Microcap,956.2,6
GMRAIRPORT,GMR Airports Limited,Midcap,112.09,6
GNA,G N A Axles Limited,Microcap,441.25,6
GODREJIND,Godrej Industries Ltd.,Midcap,1174.7,6
GOKEX,Gokaldas Exports Ltd,Microcap,873.25,6
GOODLUCK,Goodluck India Limited,Microcap,1487.0,6
GPTINFRA,GPT Infraprojects limited,Microcap,133.38,6
GRANULES,Granules India Ltd.,Smallcap,813.25,6
GREAVESCOT,Greaves Cotton Ltd.,Microcap,219.98,6
GRINDWELL,Grindwell Norton Ltd.,Smallcap,2166.1,6
GROWW,Billionbrains Garage Ventures Limited,Midcap,202.07,6
GRWRHITECH,GARWARE HI-TECH FILMS LIMITED,Microcap,6677.5,6
GUFICBIO,Gufic BioSciences Ltd.,Microcap,407.05,6
GUJTHEM,Gujarat Themis Biosyn Ltd.,Microcap,397.5,6
HAPPYFORGE,Happy Forgings Limited,Microcap,1537.8,6
HBLENGINE,HBL ENGINEERING LIMITED,Smallcap,812.25,6
HCG,HealthCare Global Enterprises Limited,Microcap,627.1,6
HFCL,HFCL LIMITED,Microcap,212.85,6
HIRECT,Hind Rectifiers Ltd.,Microcap,1159.2,6
HMT,HMT Limited,Microcap,67.87,6
HMVL,Hindustan Media Ventures Limited,Microcap,86.38,6
HNDFDS,Hindustan Foods Ltd.,Microcap,556.0,6
HONASA,Honasa Consumer Limited,Microcap,457.9,6
HONAUT,Honeywell Automation India Ltd.,Smallcap,39735.0,6
HSCL,Himadri Speciality Chemical Ltd.,Smallcap,679.2,6
ICEMAKE,Ice Make Refrigeration Ltd.,Microcap,795.9,6
ICIL,Indo Count Industries Ltd,Microcap,438.25,6
IDEA,VODAFONE IDEA LIMITED,Midcap,14.46,6
IDFCFIRSTB,IDFC FIRST BANK LIMITED,Midcap,79.49,6
IGPL,IG Petrochemicals Ltd,Microcap,456.3,6
IMPAL,INDIA MOTOR PARTS & ACCESSORIES LTD,Microcap,1102.1,6
INDIAGLYCO,India Glycols Ltd,Microcap,986.35,6
INDNIPPON,India Nippon Electricals Ltd,Microcap,1001.4,6
INDOTECH,Indo Tech Transformers Limited,Microcap,3235.9,6
INDSWFTLAB,Ind-Swift Laboratories Ltd.,Microcap,203.53,6
INNOVACAP,INNOVA CAPTAB LIMITED,Microcap,978.45,6
INOXINDIA,INOX India Limited,Microcap,1958.4,6
IOLCP,IOL Chemicals & Pharmaceuticals Ltd,Microcap,145.29,6
